x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state
8,1,0.25,0.75,5,2,0.25,0.75,10,0
8,1,0.5,0.5,7,2,0.5,0.5,21,0
8,1,0.5,0.5,5,3,0.75,0.25,10,0
7,1,0.7,0.3,5,6,0.8,0.2,6,0
1,9,0.7,0.3,4,1,0.8,0.2,36,0
7,1,0.8,0.2,6,4,0.9,0.1,28,0
7,1,0.8,0.2,6,4,0.9,0.1,29,0
8,1,0.8,0.2,7,5,0.8,0.2,10,0
8,1,0.8,0.2,6,9,0.8,0.2,6,0
8,2,0.5,0.5,6,2,0.75,0.25,26,0
1,9,0.5,0.5,7,2,0.6,0.4,8,0
1,9,0.5,0.5,7,2,0.6,0.4,18,0
2,9,0.7,0.3,5,2,0.7,0.3,37,0
3,9,0.7,0.3,6,3,0.6,0.4,36,0
3,9,0.75,0.25,5,3,0.75,0.25,37,0
3,9,0.5,0.5,7,3,0.75,0.25,30,0
1,9,0.25,0.75,8,4,0.75,0.25,10,0
1,9,0.25,0.75,8,6,0.5,0.5,35,0
1,9,0.8,0.2,2,8,0.9,0.1,36,0
1,9,0.8,0.2,2,8,0.9,0.1,37,0
